descripcion,categoria_slug,idioma,comercio
Condominio Edificio Aurora,vivienda,pt,Condominio Edificio Aurora
CARGO VARIOS,otros,es,Cargo Varios
Home Depot NEW YORK,vivienda,en,Home Depot
GIMNASIO,entretenimiento,es,Gimnasio
Aeromexico #1030,transporte,es,Aeromexico
Parking Garage Downtown NEW YORK,transporte,en,Parking Garage Downtown
RECURRING Twitch Subscription,entretenimiento,en,Twitch Subscription
JUROS CHEQUE ESPECIAL,finanzas,pt,Juros Cheque Especial
RECURRING SPOTIFY USA,entretenimiento,en,Spotify USA
POSTO BR PETROBRAS BR,transporte,pt,Posto BR Petrobras
Walmart US,compras,en,Walmart US
Outros RECIFE,otros,pt,Outros
CARD Tax Refund,ingresos,en,Tax Refund
Nordstrom US,compras,en,Nordstrom
PAGO SERVICIO Anualidad Tarjeta Santander,finanzas,es,Anualidad Tarjeta Santander
COMPRA EN PAGO SAT IMPUESTOS,finanzas,es,Pago SAT Impuestos
Cinemark Brasil,entretenimiento,pt,Cinemark Brasil
Gasoline LOS ANGELES,transporte,en,Gasoline
DEBIT CHIPOTLE,alimentacion,en,Chipotle
RENTA DEPARTAMENTO SUC 8691,vivienda,es,Renta Departamento
ACH NIKE,compras,en,Nike
PERSONAL LOAN PAYMENT DENVER,finanzas,en,Personal Loan Payment
PAGAMENTO Previdencia Privada,ahorro_inversion,pt,Previdencia Privada
PIX Giraffas,alimentacion,pt,Giraffas
Cinemex SUC 2524,entretenimiento,es,Cinemex
Aldi US,alimentacion,en,Aldi
SOUTHWEST AIRLINES,transporte,en,Southwest Airlines
DOM Mudanza Express,vivienda,es,Mudanza Express
XBOX GAME PASS,entretenimiento,es,Xbox Game Pass
Aplicacao Financeira SALVADOR,ahorro_inversion,pt,Aplicacao Financeira
PAGAMENTO Juros Cheque Especial,finanzas,pt,Juros Cheque Especial
PURCHASE Coinbase Purchase,ahorro_inversion,en,Coinbase Purchase
TED Pagamento Fatura Cartao Nubank,finanzas,pt,Pagamento Fatura Cartao Nubank
Combustible,transporte,es,Combustible
DEBIT Apartment Rent,vivienda,en,Apartment Rent
ANUALIDAD TARJETA SANTANDER,finanzas,es,Anualidad Tarjeta Santander
Clothing,compras,en,Clothing
ConectCar,transporte,pt,ConectCar
TARJ MEGACABLE,servicios,es,Megacable
MERCADO,alimentacion,pt,Mercado
Utility Bill HOUSTON,servicios,en,Utility Bill
PURCHASE AMTRAK,transporte,en,Amtrak
DEBIT Spectrum Cable,servicios,en,Spectrum Cable
Multa de Transito,finanzas,es,Multa de Transito
BAR DO ZECA *0DFR9,entretenimiento,pt,Bar do Zeca
Comision Bancaria *OJSLYQ,finanzas,es,Comision Bancaria
PAYMENT SAFEWAY,alimentacion,en,Safeway
DEBITO AUTOMATICO Salao de Beleza,otros,pt,Salao de Beleza
TOKS SUC 9143,alimentacion,es,Toks
COMPRA EN PEMEX,transporte,es,Pemex
TED iFood,alimentacion,pt,iFood
DOACAO ONG,otros,pt,Doacao ONG
DOM COMPRA DE DOLARES,ahorro_inversion,es,Compra de Dolares
Auto Insurance Geico,finanzas,en,Auto Insurance Geico
ASSINATURA STREAMING,entretenimiento,pt,Assinatura Streaming
Lab Test,salud,en,Lab Test
Cuota Mantenimiento Condominio MEX,vivienda,es,Cuota Mantenimiento Condominio
INVERSION,ahorro_inversion,es,Inversion
CURSO DE INGLES HARMON HALL,educacion,es,Curso de Ingles Harmon Hall
Pagare Bancario MEX,ahorro_inversion,es,Pagare Bancario
DEBITO AUTOMATICO SAQUE EM CAIXA ELETRONICO,otros,pt,Saque em Caixa Eletronico
SEVEN ELEVEN,alimentacion,es,Seven Eleven
Gasoline,transporte,en,Gasoline
CARD STEAM STORE,entretenimiento,en,Steam Store
Videogames,entretenimiento,pt,Videogames
HBO Max US CHICAGO,entretenimiento,en,HBO Max US
Movies DENVER,entretenimiento,en,Movies
Cabify *5YHP5,transporte,es,Cabify
Walmart,alimentacion,es,Walmart
GAS DOMESTICO,servicios,es,Gas Domestico
POS Direct Deposit Salary,ingresos,en,Direct Deposit Salary
TED CPTM,transporte,pt,CPTM
Spectrum Cable,servicios,en,Spectrum Cable
DOM GIMNASIO SMART FIT,entretenimiento,es,Gimnasio Smart Fit
COMBUSTIBLE,transporte,es,Combustible
DISH MEXICO *2O90S1,servicios,es,Dish Mexico
ACH ATM WITHDRAWAL,otros,en,ATM Withdrawal
Hospital Angeles *A4AAL,salud,es,Hospital Angeles
DOM PALACIO DE HIERRO,compras,es,Palacio de Hierro
Phone Bill,servicios,en,Phone Bill
Brokerage Deposit CHICAGO,ahorro_inversion,en,Brokerage Deposit
SERVICIOS DEL HOGAR,servicios,es,Servicios del Hogar
COMPRA Sabesp Agua,servicios,pt,Sabesp Agua
COMPRA SKY BRASIL,servicios,pt,Sky Brasil
COMPRA TDC INVERSION GBM FONDOS,ahorro_inversion,es,Inversion GBM Fondos
Consulta Medica CDMX,salud,es,Consulta Medica
COMPRA Condominio Edificio Aurora,vivienda,pt,Condominio Edificio Aurora
COMPRA TDC Colegiatura Universidad UNAM,educacion,es,Colegiatura Universidad UNAM
COMPRA EN Andrea Zapatos,compras,es,Andrea Zapatos
RECURRING NIKE,compras,en,Nike
PAGO SERVICIO NOTARIA PUBLICA TRAMITE,otros,es,Notaria Publica Tramite
H&M Mexico SUC 3625,compras,es,H&M Mexico
Zona Sul #9091,alimentacion,pt,Zona Sul
Home Depot Mexico,vivienda,es,Home Depot Mexico
MISC EXPENSE,otros,en,Misc Expense
Transfer to Savings,ahorro_inversion,en,Transfer to Savings
Panaderia La Espiga,alimentacion,es,Panaderia La Espiga
DOM Spotify Premium,entretenimiento,es,Spotify Premium
Marcenaria Souza #3045,vivienda,pt,Marcenaria Souza
AT&T Mexico,servicios,es,AT&T Mexico
COMPRA Assai Atacadista,alimentacion,pt,Assai Atacadista
PAGO Seguro Medico GNP,salud,es,Seguro Medico GNP
FUND CONTRIBUTION,ahorro_inversion,en,Fund Contribution
Gasto Vario TIJUANA,otros,es,Gasto Vario
NOMINA,ingresos,es,Nomina
PREDIAL MUNICIPAL *M5L4SD2,finanzas,es,Predial Municipal
TED Previdencia Privada,ahorro_inversion,pt,Previdencia Privada
Ropa,compras,es,Ropa
ACH Hulu,entretenimiento,en,Hulu
LABORATORIO FLEURY *CPKR8SE,salud,pt,Laboratorio Fleury
TARJ TALLER MECANICO LOPEZ,transporte,es,Taller Mecanico Lopez
TESOURO DIRETO,ahorro_inversion,pt,Tesouro Direto
Transfer to Savings MIAMI,ahorro_inversion,en,Transfer to Savings
Zona Sul *6XPYFXO,alimentacion,pt,Zona Sul
Prestamo Personal HSBC,finanzas,es,Prestamo Personal HSBC
SUELDO,ingresos,es,Sueldo
TED Netshoes,compras,pt,Netshoes
Colegiatura MONTERREY,educacion,es,Colegiatura
TARJ TELMEX,servicios,es,Telmex
PURCHASE BP FUEL,transporte,en,BP Fuel
AT&T MEXICO,servicios,es,AT&T Mexico
Paramount Plus SUC 3700,entretenimiento,es,Paramount Plus
Compras,compras,es,Compras
CARTAO Salao de Beleza,otros,pt,Salao de Beleza
PUBLIX US,alimentacion,en,Publix
Entertainment,entretenimiento,en,Entertainment
Cinepolis,entretenimiento,es,Cinepolis
PIX Pacheco Drogaria,salud,pt,Pacheco Drogaria
LEROY MERLIN CURITIBA,vivienda,pt,Leroy Merlin
Taqueria El Paisa MEX,alimentacion,es,Taqueria El Paisa
PURCHASE AUTO INSURANCE GEICO,finanzas,en,Auto Insurance Geico
Restaurante QUERETARO,alimentacion,es,Restaurante
Health Insurance,salud,en,Health Insurance
Pago Hipoteca Infonavit #3925,vivienda,es,Pago Hipoteca Infonavit
Aluguel,vivienda,pt,Aluguel
Renta Departamento,vivienda,es,Renta Departamento
DOCTOR CONSULTA GENERAL,salud,es,Doctor Consulta General
Saque,otros,pt,Saque
Juros SAO PAULO,finanzas,pt,Juros
CARD BONUS PAYMENT,ingresos,en,Bonus Payment
PAGAMENTO TIM CELULAR,servicios,pt,TIM Celular
COMPRA BARBEARIA DO JOAO,otros,pt,Barbearia do Joao
Curso,educacion,es,Curso
LIFE INSURANCE PREMIUM,finanzas,en,Life Insurance Premium
PIX Unimed Plano de Saude,salud,pt,Unimed Plano de Saude
Mercado SAO PAULO,alimentacion,pt,Mercado
CARTAO 99 Taxi,transporte,pt,99 Taxi
CARTAO CPTM,transporte,pt,CPTM
HBO Max US,entretenimiento,en,HBO Max US
INTERESES CREDITO NOMINA,finanzas,es,Intereses Credito Nomina
DOM Shein,compras,es,Shein
Sueldo TIJUANA,ingresos,es,Sueldo
ACH IKEA,vivienda,en,IKEA
RECURRING Unidentified Charge,otros,en,Unidentified Charge
PAGO SERVICIO SUPERAMA,alimentacion,es,Superama
Veterinaria Patitas,otros,es,Veterinaria Patitas
Gasolinera Total GUADALAJARA,transporte,es,Gasolinera Total
Adidas US #4323,compras,en,Adidas US
C&A BRASIL,compras,pt,C&A Brasil
AHORRO PROGRAMADO *516C96E,ahorro_inversion,es,Ahorro Programado
CARTAO Oficina Mecanica Silva,transporte,pt,Oficina Mecanica Silva
Despesa Diversa,otros,pt,Despesa Diversa
VIDEOGAMES,entretenimiento,pt,Videogames
COMPRA CARTAO ALUGUEL APARTAMENTO,vivienda,pt,Aluguel Apartamento
PLANO DE SAUDE,salud,pt,Plano de Saude
Conta de Luz Enel BELO HORIZONTE,servicios,pt,Conta de Luz Enel
Gimnasio PUEBLA,entretenimiento,es,Gimnasio
DOM DISNEY PLUS,entretenimiento,es,Disney Plus
TED Clinica Odontologica,salud,pt,Clinica Odontologica
Libros,educacion,es,Libros
PURCHASE APPLE STORE,compras,en,Apple Store
MUDANZA EXPRESS MEX,vivienda,es,Mudanza Express
LIBRERIA GANDHI SUC 7068,educacion,es,Libreria Gandhi
COMPRA EN INVERSION GBM FONDOS,ahorro_inversion,es,Inversion GBM Fondos
Reembolso de Gastos #1094,ingresos,es,Reembolso de Gastos
ANUIDADE DO CARTAO,finanzas,pt,Anuidade do Cartao
SHOPEE BRASIL,compras,pt,Shopee Brasil
Lazer,entretenimiento,pt,Lazer
DOM Sears Mexico,compras,es,Sears Mexico
RECURRING Kroger,alimentacion,en,Kroger
CARTAO DROGARIA SAO PAULO,salud,pt,Drogaria Sao Paulo
Shell Mexico *FV2AQ,transporte,es,Shell Mexico
RECURRING DOORDASH,alimentacion,en,DoorDash
Cinepolis MEX,entretenimiento,es,Cinepolis
Robinhood Deposit,ahorro_inversion,en,Robinhood Deposit
DEBIT NOTARY FEE,otros,en,Notary Fee
Sanborns MEX,alimentacion,es,Sanborns
Fundo de Investimento #8985,ahorro_inversion,pt,Fundo de Investimento
Material Escolar,educacion,es,Material Escolar
TARJ BP Gasolinera,transporte,es,BP Gasolinera
DEBIT BEST BUY,compras,en,Best Buy
Ropa TIJUANA,compras,es,Ropa
CARTAO Decimo Terceiro,ingresos,pt,Decimo Terceiro
COMPRA TDC Doctor Consulta General,salud,es,Doctor Consulta General
BRT RIO #2285,transporte,pt,BRT Rio
COMPRA NETFLIX BRASIL,entretenimiento,pt,Netflix Brasil
NOTARIA PUBLICA TRAMITE SUC 798,otros,es,Notaria Publica Tramite
Miscellaneous SEATTLE,otros,en,Miscellaneous
ENTERTAINMENT,entretenimiento,en,Entertainment
PAGO SERVICIO Cafe Punta del Cielo,alimentacion,es,Cafe Punta del Cielo
COMPRA Spoleto,alimentacion,pt,Spoleto
SEGURO DE VIDA METLIFE #4528,finanzas,es,Seguro de Vida MetLife
Deposito em Conta #9098,ingresos,pt,Deposito em Conta
ALIEXPRESS,compras,es,AliExpress
ACH NATURAL GAS COMPANY,servicios,en,Natural Gas Company
COMPRA TDC NINTENDO ESHOP,entretenimiento,es,Nintendo eShop
Tarifa Bancaria RECIFE,finanzas,pt,Tarifa Bancaria
Urgent Care Visit,salud,en,Urgent Care Visit
Quest Diagnostics #3567,salud,en,Quest Diagnostics
PAGO SERVICIO Bershka,compras,es,Bershka
RECURRING Olive Garden,alimentacion,en,Olive Garden
PAYMENT Chevron,transporte,en,Chevron
BOOKS,educacion,en,Books
Comision Bancaria MONTERREY,finanzas,es,Comision Bancaria
COMPRA EN NETFLIX,entretenimiento,es,Netflix
FCIA DEL AHORRO SUC 9484,salud,es,FCIA del Ahorro
CARD Home Depot,vivienda,en,Home Depot
DOM Donativo Cruz Roja,otros,es,Donativo Cruz Roja
Phone Bill HOUSTON,servicios,en,Phone Bill
Hair Salon *L0VSD,otros,en,Hair Salon
COMPRA CARTAO Posto Ipiranga,transporte,pt,Posto Ipiranga
Mercado Livre *U2T1Z0,compras,pt,Mercado Livre
DOM UDEMY CURSO,educacion,es,Udemy Curso
PURCHASE CERTIFICATE OF DEPOSIT,ahorro_inversion,en,Certificate of Deposit
PAGO AEROMEXICO,transporte,es,Aeromexico
MEXIBUS,transporte,es,Mexibus
POS Delta Air Lines,transporte,en,Delta Air Lines
ACH UBER US,transporte,en,Uber US
AT&T Internet US,servicios,en,AT&T Internet
PAGO Farmacias Benavides,salud,es,Farmacias Benavides
Direct Deposit Salary,ingresos,en,Direct Deposit Salary
DEBITO AUTOMATICO Rico Investimentos,ahorro_inversion,pt,Rico Investimentos
Credito Hipotecario BBVA SUC 8013,vivienda,es,Credito Hipotecario BBVA
DOM STAR PLUS,entretenimiento,es,Star Plus
ZARA MEXICO #6591,compras,es,Zara Mexico
VIDEO GAMES,entretenimiento,en,Video Games
PAGAMENTO Mercado Livre,compras,pt,Mercado Livre
RETIRO EN CAJERO SUC 2433,otros,es,Retiro en Cajero
Drogasil CURITIBA,salud,pt,Drogasil
Deezer Premium *8VBOSQYW,entretenimiento,pt,Deezer Premium
PEMEX QUERETARO,transporte,es,Pemex
ACH Comcast Xfinity,servicios,en,Comcast Xfinity
Natural Gas MIAMI,servicios,en,Natural Gas
Condominio CURITIBA,vivienda,pt,Condominio
PEDAGIO CCR,transporte,pt,Pedagio CCR
CARD APPLE STORE,compras,en,Apple Store
PAGAMENTO Pedagio CCR,transporte,pt,Pedagio CCR
ACH Personal Loan Payment,finanzas,en,Personal Loan Payment
COMPRA EN Estacionamiento Centro,transporte,es,Estacionamiento Centro
Cinemex #4696,entretenimiento,es,Cinemex
COMPRA CARTAO Padaria Bella Paulista,alimentacion,pt,Padaria Bella Paulista
Salida con Amigos PUEBLA,entretenimiento,es,Salida con Amigos
CARTAO Pacheco Drogaria,salud,pt,Pacheco Drogaria
GREYHOUND,transporte,en,Greyhound
Taco Bell MIAMI,alimentacion,en,Taco Bell
SEARS MEXICO,compras,es,Sears Mexico
CARD Exxon Mobil,transporte,en,Exxon Mobil
Pago Tarjeta de Credito BBVA SUC 8590,finanzas,es,Pago Tarjeta de Credito BBVA
DOMINOS PIZZA,alimentacion,es,Dominos Pizza
URGENT CARE VISIT,salud,en,Urgent Care Visit
RECURRING DUNKIN DONUTS,alimentacion,en,Dunkin Donuts
Laboratorio QUERETARO,salud,es,Laboratorio
Cash Withdrawal,otros,en,Cash Withdrawal
DOM DISH MEXICO,servicios,es,Dish Mexico
Coffee Shop NEW YORK,alimentacion,en,Coffee Shop
TARJ TOTALPLAY,servicios,es,Totalplay
LAB TEST,salud,en,Lab Test
CARD OLIVE GARDEN,alimentacion,en,Olive Garden
Ahorro CDMX,ahorro_inversion,es,Ahorro
PAGO STAR PLUS,entretenimiento,es,Star Plus
ETN Turistar MEX,transporte,es,ETN Turistar
POS AMAZON,compras,en,Amazon
BONUS PAYMENT CHICAGO,ingresos,en,Bonus Payment
CONTAS DA CASA,servicios,pt,Contas da Casa
Inversion CDMX,ahorro_inversion,es,Inversion
Deposito Recibido,ingresos,es,Deposito Recibido
FARMACIAS DEL AHORRO TIJUANA,salud,es,Farmacias del Ahorro
Cafeteria GUADALAJARA,alimentacion,es,Cafeteria
CARTAO ASSAI ATACADISTA,alimentacion,pt,Assai Atacadista
TARJ RETIRO EN CAJERO,otros,es,Retiro en Cajero
Gas Domestico QUERETARO,servicios,es,Gas Domestico
TARJ ETN Turistar,transporte,es,ETN Turistar
ACH T-MOBILE,servicios,en,T-Mobile
Groceries,alimentacion,en,Groceries
ASSAI ATACADISTA,alimentacion,pt,Assai Atacadista
Lavanderia Express MEX,otros,es,Lavanderia Express
ALBERTSONS US,alimentacion,en,Albertsons
DENTIST,salud,en,Dentist
Cash Withdrawal CHICAGO,otros,en,Cash Withdrawal
DEBITO AUTOMATICO Posto BR Petrobras,transporte,pt,Posto BR Petrobras
TED ONIBUS VIACAO COMETA,transporte,pt,Onibus Viacao Cometa
AMIL SAUDE,salud,pt,Amil Saude
PAGAMENTO Conta de Luz Enel,servicios,pt,Conta de Luz Enel
CARTAO Hospital Albert Einstein,salud,pt,Hospital Albert Einstein
PAGO Inscripcion Tec de Monterrey,educacion,es,Inscripcion Tec de Monterrey
DEBIT Expense Reimbursement,ingresos,en,Expense Reimbursement
REPARTO DE UTILIDADES,ingresos,es,Reparto de Utilidades
Healthcare,salud,en,Healthcare
College Bookstore *J90PNOD,educacion,en,College Bookstore
Kumon Matematicas SUC 6564,educacion,es,Kumon Matematicas
PAYMENT Shell Gas Station,transporte,en,Shell Gas Station
Bank Fee,finanzas,en,Bank Fee
TARJ Predial Municipal,finanzas,es,Predial Municipal
PAGO RENTA RECIBIDA DE INQUILINO,ingresos,es,Renta Recibida de Inquilino
Annual Card Fee US,finanzas,en,Annual Card Fee
TARJ McDonalds,alimentacion,es,McDonalds
Estacionamiento Centro #6375,transporte,es,Estacionamiento Centro
Pagamento de Cliente BR,ingresos,pt,Pagamento de Cliente
GIMNASIO SMART FIT MEX,entretenimiento,es,Gimnasio Smart Fit
SPROUTS FARMERS MARKET,alimentacion,en,Sprouts Farmers Market
Cafe Punta del Cielo MEX,alimentacion,es,Cafe Punta del Cielo
Gimnasio Smart Fit,entretenimiento,es,Gimnasio Smart Fit
RENT PAYMENT,vivienda,en,Rent Payment
Plomeria Rapida,vivienda,es,Plomeria Rapida
Alimentacao RECIFE,alimentacion,pt,Alimentacao
DOM Xbox Game Pass,entretenimiento,es,Xbox Game Pass
COLEGIO PARTICULAR CUOTA SUC 7427,educacion,es,Colegio Particular Cuota
SHOPPING,compras,en,Shopping
CARTAO REFORMA PREDIAL,vivienda,pt,Reforma Predial
PAGO SERVICIO FCIA GUADALAJARA,salud,es,FCIA Guadalajara
Oficina Mecanica Silva BR,transporte,pt,Oficina Mecanica Silva
COMPRA EN Shell Mexico,transporte,es,Shell Mexico
SKY TELEVISION MEX,servicios,es,Sky Television
PAGAMENTO IPTU Prefeitura,vivienda,pt,IPTU Prefeitura
Aportacion a Fondo MERIDA,ahorro_inversion,es,Aportacion a Fondo
CARTAO Spoleto,alimentacion,pt,Spoleto
Binance Compra #2484,ahorro_inversion,es,Binance Compra
Planet Fitness #6549,entretenimiento,en,Planet Fitness
Dentista CDMX,salud,es,Dentista
PIX BOBS,alimentacion,pt,Bobs
Wendys US,alimentacion,en,Wendys
SEGURO,finanzas,es,Seguro
PAGAMENTO POUPANCA DEPOSITO,ahorro_inversion,pt,Poupanca Deposito
Passagem Onibus,transporte,pt,Passagem Onibus
Deposito de Nomina SUC 8872,ingresos,es,Deposito de Nomina
Teatro Insurgentes,entretenimiento,es,Teatro Insurgentes
Wendys #5210,alimentacion,en,Wendys
DOM INVERSION GBM FONDOS,ahorro_inversion,es,Inversion GBM Fondos
DOM Subway,alimentacion,es,Subway
PAGO SERVICIO Comercial Mexicana,alimentacion,es,Comercial Mexicana
TRADER JOES,alimentacion,en,Trader Joes
Dining,alimentacion,en,Dining
Compras MERIDA,compras,es,Compras
Fuel MIAMI,transporte,en,Fuel
PURCHASE WALGREENS,salud,en,Walgreens
PALACIO DE HIERRO MEX,compras,es,Palacio de Hierro
COMPRA CARTAO LIVRARIA CULTURA,educacion,pt,Livraria Cultura
PAYMENT Robinhood Deposit,ahorro_inversion,en,Robinhood Deposit
ROPA,compras,es,Ropa
COMPRA TDC TOTALPLAY,servicios,es,Totalplay
Movistar Mexico SUC 3538,servicios,es,Movistar Mexico
COMPRA TDC NATURGY GAS,servicios,es,Naturgy Gas
PASAJE AUTOBUS,transporte,es,Pasaje Autobus
Rite Aid *65XDY1,salud,en,Rite Aid
Bonus,ingresos,en,Bonus
Nomina Quincenal GUADALAJARA,ingresos,es,Nomina Quincenal
DEBITO AUTOMATICO ESTACIONAMENTO ESTAPAR,transporte,pt,Estacionamento Estapar
COMPRA TDC BEST BUY MEXICO,compras,es,Best Buy Mexico
HBO Max US *5OVCT2,entretenimiento,en,HBO Max US
FINANCIAMENTO IMOBILIARIO CAIXA #5053,vivienda,pt,Financiamento Imobiliario Caixa
COMPRA EN MARISQUERIA LA COSTA,alimentacion,es,Marisqueria La Costa
Hipoteca,vivienda,es,Hipoteca
PURCHASE Taco Bell,alimentacion,en,Taco Bell
Seguro Medico GNP,salud,es,Seguro Medico GNP
DEBITO AUTOMATICO METRO SAO PAULO,transporte,pt,Metro Sao Paulo
TED Financiamento Imobiliario Caixa,vivienda,pt,Financiamento Imobiliario Caixa
Tuition CHICAGO,educacion,en,Tuition
PAGAMENTO Pet Shop Clinica Veterinaria,otros,pt,Pet Shop Clinica Veterinaria
Farmacias del Ahorro,salud,es,Farmacias del Ahorro
SEGURO DE AUTO QUALITAS MEX,finanzas,es,Seguro de Auto Qualitas
Cabify #6518,transporte,es,Cabify
Supermercado,alimentacion,es,Supermercado
Transporte Publico QUERETARO,transporte,es,Transporte Publico
COMPRA TDC OXXO,alimentacion,es,Oxxo
Bitso Cripto MEX,ahorro_inversion,es,Bitso Cripto
POS Sprouts Farmers Market,alimentacion,en,Sprouts Farmers Market
Metro Sao Paulo,transporte,pt,Metro Sao Paulo
DEBITO AUTOMATICO MENSALIDADE FACULDADE USP,educacion,pt,Mensalidade Faculdade USP
Naturgy Gas #5350,servicios,es,Naturgy Gas
COMPRA CARTAO PACHECO DROGARIA,salud,pt,Pacheco Drogaria
CONSULTA DENTISTA *PVDV7PE,salud,es,Consulta Dentista
TARJ H&M MEXICO,compras,es,H&M Mexico
Calzado,compras,es,Calzado
COMPRA TDC Gas Natural Fenosa,servicios,es,Gas Natural Fenosa
DOM METRO CDMX,transporte,es,Metro CDMX
Cafeteria,alimentacion,es,Cafeteria
Impuestos PUEBLA,finanzas,es,Impuestos
CPTM,transporte,pt,CPTM
PIX Sky Brasil,servicios,pt,Sky Brasil
COFFEE SHOP,alimentacion,en,Coffee Shop
TARJ Bar La Cerveceria,entretenimiento,es,Bar La Cerveceria
CINEMA,entretenimiento,pt,Cinema
Shopee Brasil,compras,pt,Shopee Brasil
CARTORIO TAXA BR,otros,pt,Cartorio Taxa
Recibo de Luz GUADALAJARA,servicios,es,Recibo de Luz
Curso MONTERREY,educacion,es,Curso
DESPENSA,alimentacion,es,Despensa
COMPRA TDC Burger King,alimentacion,es,Burger King
Salario Mensal *FBYJ3EUN,ingresos,pt,Salario Mensal
PAYMENT HOA Fees,vivienda,en,HOA Fees
PAGAMENTO Conta de Gas,servicios,pt,Conta de Gas
Uber Brasil #4523,transporte,pt,Uber Brasil
ACH Loan Interest Payment,finanzas,en,Loan Interest Payment
Cinema,entretenimiento,pt,Cinema
IPTU Prefeitura,vivienda,pt,IPTU Prefeitura
Oficina Mecanica Silva,transporte,pt,Oficina Mecanica Silva
COMPRA EN INSCRIPCION TEC DE MONTERREY,educacion,es,Inscripcion Tec de Monterrey
COMPRA CARTAO ATACADAO,alimentacion,pt,Atacadao
COMPRA EN Consulta Dentista,salud,es,Consulta Dentista
Video Games CHICAGO,entretenimiento,en,Video Games
Amazon Brasil #2687,compras,pt,Amazon Brasil
Seguro Medico GNP MEX,salud,es,Seguro Medico GNP
PEAJE,transporte,es,Peaje
TED Leroy Merlin,vivienda,pt,Leroy Merlin
STUDENT LOAN PAYMENT #5485,educacion,en,Student Loan Payment
Mercado Libre SUC 3364,compras,es,Mercado Libre
PAGO SERVICIO FARMACIAS GUADALAJARA,salud,es,Farmacias Guadalajara
Regalo,compras,es,Regalo
Pagare Bancario SUC 2727,ahorro_inversion,es,Pagare Bancario
INTERNET SERVICE PROVIDER *K1DZCJD,servicios,en,Internet Service Provider
VIDEOJUEGOS,entretenimiento,es,Videojuegos
TED Recebida #5172,ingresos,pt,TED Recebida
RECURRING eBay,compras,en,eBay
CARTAO Taxa de Condominio,vivienda,pt,Taxa de Condominio
Shein MONTERREY,compras,es,Shein
DEBITO AUTOMATICO LABORATORIO FLEURY,salud,pt,Laboratorio Fleury
Livraria Cultura,educacion,pt,Livraria Cultura
Medicamentos,salud,es,Medicamentos
Compra de Bitcoin #5019,ahorro_inversion,pt,Compra de Bitcoin
TED TAXA DE CONDOMINIO,vivienda,pt,Taxa de Condominio
DEBITO AUTOMATICO IOF Operacao,finanzas,pt,IOF Operacao
PAGO MERCADO LIBRE,compras,es,Mercado Libre
Gym SEATTLE,entretenimiento,en,Gym
Videojuegos MONTERREY,entretenimiento,es,Videojuegos
Other LOS ANGELES,otros,en,Other
LUZ,servicios,es,Luz
Water,servicios,en,Water
HEALTHCARE,salud,en,Healthcare
CARTAO Unimed Plano de Saude,salud,pt,Unimed Plano de Saude
SPORTSWORLD GYM,entretenimiento,es,Sportsworld Gym
CARTAO Bar do Zeca,entretenimiento,pt,Bar do Zeca
Salario,ingresos,es,Salario
Charity Donation *9ZN0UP0I,otros,en,Charity Donation
COMPRA CARTAO Habibs,alimentacion,pt,Habibs
DEBITO AUTOMATICO Habibs,alimentacion,pt,Habibs
RECURRING Jiffy Lube,transporte,en,Jiffy Lube
VIPS TIJUANA,alimentacion,es,Vips
CONECTCAR,transporte,pt,ConectCar
COMPRA EN Mudanza Express,vivienda,es,Mudanza Express
Credito Hipotecario BBVA,vivienda,es,Credito Hipotecario BBVA
Rico Investimentos *2IU1UL,ahorro_inversion,pt,Rico Investimentos
DEBIT Southwest Airlines,transporte,en,Southwest Airlines
PlayStation Brasil *JYFE,entretenimiento,pt,PlayStation Brasil
Course,educacion,en,Course
DEBITO AUTOMATICO LANCAMENTO NAO IDENTIFICADO,otros,pt,Lancamento Nao Identificado
Assinatura Streaming,entretenimiento,pt,Assinatura Streaming
Entretenimento,entretenimiento,pt,Entretenimento
Mercado,alimentacion,pt,Mercado
PURCHASE VANGUARD INVESTMENT,ahorro_inversion,en,Vanguard Investment
Home Maintenance DENVER,vivienda,en,Home Maintenance
COMPRA EN DIDI,transporte,es,DiDi
CARD JIFFY LUBE,transporte,en,Jiffy Lube
Oi Telecomunicacoes *OBB9OF3M,servicios,pt,Oi Telecomunicacoes
Transferencia a Ahorro CDMX,ahorro_inversion,es,Transferencia a Ahorro
SEM PARAR RECIFE,transporte,pt,Sem Parar
BART,transporte,en,BART
TARJ NOMINA QUINCENAL,ingresos,es,Nomina Quincenal
Laboratorio Chopo *BO1EPMKV,salud,es,Laboratorio Chopo
REEMBOLSO DE GASTOS,ingresos,es,Reembolso de Gastos
Servicios del Hogar CDMX,servicios,es,Servicios del Hogar
COMPRA AMERICANAS,compras,pt,Americanas
Pago SAT Impuestos,finanzas,es,Pago SAT Impuestos
CARTAO OUTBACK,alimentacion,pt,Outback
COMPRA EN Megacable,servicios,es,Megacable
PURCHASE Jiffy Lube,transporte,en,Jiffy Lube
POS Wayfair,compras,en,Wayfair
DOM MEXIBUS,transporte,es,Mexibus
DOCTOR VISIT,salud,en,Doctor Visit
PAYMENT Walmart US,compras,en,Walmart US
WHOLE FOODS MARKET US,alimentacion,en,Whole Foods Market
PAGAMENTO Shopee Brasil,compras,pt,Shopee Brasil
Loan Interest Payment US,finanzas,en,Loan Interest Payment
AMAZON BRASIL,compras,pt,Amazon Brasil
Cinemex,entretenimiento,es,Cinemex
Steam Games *SVUHF0,entretenimiento,pt,Steam Games
RAPPI MEX,alimentacion,es,Rappi
